questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4
Question 1,single-correct,Which Python tool is used to manage both dependencies and packaging?,2,1,0,Poetry helps manage environments and package projects.,pip,poetry,virtualenv,conda
Question 2,single-correct,Which command runs tests with pytest and shows coverage?,3,1,0,Use `pytest --cov=.` to check code coverage.,pytest -all,pytest-check,pytest --cov=.,pytest -coverage
Question 3,single-correct,What is the purpose of a Git pre-commit hook?,2,1,0,It validates or formats code before commit.,It runs post-merge,It checks code before committing,It deletes untracked files,It only works on merges
Question 4,single-correct,Which of the following is a valid PyTest fixture syntax?,3,1,0,`@pytest.fixture` is used for reusable setup.,@setup.fixture,@pytest.resource,@pytest.fixture,@fixture.setup
Question 5,single-correct,Which command builds a Python wheel package?,1,1,0,`python -m build` is the modern way to build wheels.,python -m build,python setup.py,make wheel,python -m pip install wheel
Question 6,single-correct,What is the use of `%%time` in a Jupyter notebook?,4,1,0,It times the execution of a cell.,It enables GPU,It installs modules,It runs only once,It measures cell execution time
Question 7,single-correct,What does `venv` provide in Python?,1,1,0,It provides isolated environments.,Virtual environment,Packaging,Compilation,Deployment
Question 8,single-correct,Why is test parameterization useful in PyTest?,3,1,0,It allows running the same test with different inputs.,It avoids test failure,It adds logging,It reuses the same test logic,It skips slow tests
Question 9,single-correct,Which tool checks code formatting and syntax before commit?,3,1,0,Pre-commit hooks often include `flake8` or `black`.,Jupyter,makefile,pre-commit hook,vim
Question 10,single-correct,Which file typically lists pre-commit hooks in a repo?,1,1,0,`.pre-commit-config.yaml` defines hooks.,.pre-commit-config.yaml,hooks.py,commit.sh,precommit.json
